Title,Organizations,Publication Year,Abstracts
Assessment and analysis of multi-biomass fuels for sustainable electricity generation,"Chulalongkorn University, King Mongkut's Institute of Technology Ladkrabang, Burapha University, Chulalongkorn University",2021,"© 2021 Elsevier LtdMany biomass power plants are not flexible, using only one fuel type, and have high CO2 emissions. In this study, a new methodology to assess the multi-biomass utilization for a power plant is proposed. The results provide that the proportions of mixed biomass residues in different regions of Thailand are appropriate with lower chloride content and slagging inclination than the standard specification. However, high alkali metal oxides in biomass in the southern region lead to high fouling inclination with high fly ash deposition. The electricity production using multi-biomass fuel is more efficient with lower fuel consumption than that with single-type biomass. To generate 103.43 MW electricity production, 107.89 t h−1 consumption of mixed biomass fuels in the central is lower than that with multi-biomass in other regions. However, it generates a maximum of 12.5 mol% CO2 in exhaust gases which can be captured by suitable amine-based absorbents with 90.82% efficiency."
Adaptability of siamese rosewood and teak seedlings to varying light conditions,"Kasetsart University, Chulalongkorn University",2023,"© 2021, Faculty of Environment and Resource Studies,Mahidol University. All rights reserved.Rosewood and Teak are valuable timber species, which have been heavily logged from both natural forests and plantations. Climate change has also contributed to a reduction in their numbers. We studied their light adaptability at the seedling stage to quantify the growth and physiological characteristics under 10% and 100% of full sunlight. Rosewood performed better, as indicated by the relative growth rate, chlorophyll content, and chlorophyll efficiency, under both shade and sunlight. We also simulated a sudden change in light intensity (gap opening up in the canopy) by exposing seedlings, previously under shade, to full sunlight. Rosewood seedlings responded faster (higher relative growth rate) to changing light conditions relative to Teak. We conclude that Rosewood seedlings can be planted either under shade, or in full sunlight, or in a location experiencing sudden change from shade to sunlight, while Teak seedlings should be planted under at least 10% sunlight, but not in full sunlight, as it can lead to chlorophyll and tissue damage."
Different responses of soil respiration to environmental factors across forest stages in a Southeast Asian forest,"Chulalongkorn University, Chulalongkorn University, Chulalongkorn University, Kasetsart University, Helmholtz Centre for Environmental Research UFZ, Chulalongkorn University, National Science and Technology Development Agency, Mahidol University, Chulalongkorn University, Chulalongkorn University, Chulalongkorn University",2021,"© 2021 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd.Soil respiration (SR) in forests contributes significant carbon dioxide emissions from terrestrial ecosystems and is highly sensitive to environmental changes, including soil temperature, soil moisture, microbial community, surface litter, and vegetation type. Indeed, a small change in SR may have large impacts on the global carbon balance, further influencing feedbacks to climate change. Thus, detailed characterization of SR responses to changes in environmental conditions is needed to accurately estimate carbon dioxide emissions from forest ecosystems. However, data for such analyses are still limited, especially in tropical forests of Southeast Asia where various stages of forest succession exist due to previous land-use changes. In this study, we measured SR and some environmental factors including soil temperature (ST), soil moisture (SM), and organic matter content (OM) in three successional tropical forests in both wet and dry periods. We also analyzed the relationships between SR and these environmental variables. Results showed that SR was higher in the wet period and in older forests. Although no response of SR to ST was found in younger forest stages, SR of the old-growth forest significantly responded to ST, plausibly due to the nonuniform forest structure, including gaps, that resulted in a wide range of ST. Across forest stages, SM was the limiting factor for SR in the wet period, whereas SR significantly varied with OM in the dry period. Overall, our results indicated that the responses of SR to environmental factors varied temporally and across forest succession. Nevertheless, these findings are still preliminary and call for detailed investigations on SR and its variations with environmental factors in Southeast Asian tropical forests where patches of successional stages dominate."
Microalgae and ammonia: A review on inter-relationship,"University of Nottingham Malaysia, Universitas Pendidikan Indonesia, Chulalongkorn University, Khalifa University of Science and Technology, University of Seoul, Saveetha University",2022,"© 2021 Elsevier LtdWith increasing threat of global warming to the livelihood of planet earth, reduction of carbon emission to the atmosphere is inevitable. Carbon emission reduction can be achieved through carbon capture and replacement technologies. Microalgae and ammonia (NH3) have been known to be carbon capture and carbon replacement option, respectively. This paper examines the inter-relationship between these two candidates with carbon reduction potential: microalgae and ammonia, and their future perspectives. Firstly, impact of ammonia presence in natural habitat of microalgae is identified, from the aspect of microalgal growth characteristic, photosynthetic performance, and biochemical composition. Possible solutions of ammonia removal in aquatic system include biotreatment with microalgae, nitrification–denitrification with bacteria, ion exchange using zeolites, and membrane contactor technologies. Next, with ammonia being identified as potential future energy source, conventional ammonia production, as well as bio-ammonia production are discussed. Microalgae technology used to produce syngas through pyrolysis and hydrothermal gasification (HTG) are reviewed and is identified to produce ammonia to achieve carbon emission reduction target. Finally, the challenges and impacts of bio-ammonia production using microalgae are highlighted. The main factors determining the sustainability of microalgae-based technology are energy demand, environmental impacts, and production cost, with each having challenges to varied extent. Governmental policies that drive the development in this field are also discussed. However, further research on the impact on environment and energy consumption need to be thoroughly carried out, to enable clear improvement over current usage of fossil fuel."
CeO2/CuO/TiO2heterojunction photocatalysts for conversion of CO2to ethanol,"King Mongkut's Institute of Technology Ladkrabang, King Mongkut's Institute of Technology Ladkrabang, Chulalongkorn University",2023,"© 2021 IOP Publishing Ltd.An attempt to reduce CO2 emissions has led to the development of CeO2/CuO/TiO2 heterojunction photocatalysts for photoconversion of CO2 to useful products, e.g. ethanol. Composite photocatalysts were simply prepared by mixing TiO2 (P25) with different mass ratios of CeO2 (1 wt%) and CuO (2 or 3 wt%) by ball milling. The prepared photocatalysts had uniformly distributed CeO2 and CuO phases, throughout the TiO2 phase. The integration of CeO2 and CuO into TiO2 at 1 wt% CeO2 and 3 wt% CuO produced a composite, with a reduced band gap of 2.88 eV, allowing absorption of lower energy light and a lower electron-hole recombination rate. The 1%CeO2/3%CuO/TiO2 photocatalysts yielded ethanol at 30.5 μmol gcat-1 h-1, almost three times higher than the yield from pure TiO2. This improved CO2 conversion efficiency was due to contributions from properties of both additives: CeO2 increased light absorption, while CuO acted as an electron trap and enhanced CO2 adsorption. In addition, the heterojunction at the interfaces facilitated the photogenerated charge separation, which, in turn, increased the charge participation in the catalyzed conversion reactions."
"Factors affecting technology selection, techno-economic and environmental sustainability assessment of a novel zero-waste system for food waste and wastewater management","Chulalongkorn University, Chulalongkorn University, Chulalongkorn University",2022,"© 2021 Elsevier LtdTo provide food waste energy recovery, sludge management and building wastewater recycling with the primary goal of achieving zero-waste discharge, a novel integrated single-stage anaerobic co-digestion and moving bed biofilm reaction membrane bioreactor system has been developed. The acceptability of the technology and the sustainability of the zero-waste system were assessed by a proposed stepwise evaluation approach that included the factors affecting its usage, technical performance, environmental sustainability and economic feasibility. Based on the three experimental cases of the system prototype, the anaerobic co-digestions of food waste and wastewater sludge (Cases 2 and 3) provided slightly higher methane generation rates than was achieved from the mono-digestion of food waste (Case 1). Average methane yields from the anaerobic co-digestion (Cases 2 and 3) were in the range of 0.352–0.353 L/g TVS. The ratios of VFA/Alk of all the experimental cases were lower than 0.25, indicating the stable anerobic co-digestion performances. The MBBR-MBR was able to achieve ammonia removal rate in the range of 0.34–0.77 g NH4/m2-day. The co-treatment of combined wastewater was able to provide good reclaimed water that was suitable for landscape use. Life cycle assessment results showed that the proposed zero-waste system could reduce the impacts of climate change, eutrophication, acidification, and fossil resource depletion compared to conventional waste treatment. The economic Internal Rate of Return, Net Present Value, and Benefit/Cost of the system were around 9%, 2222 USD, and 1.44, respectively. The challenges and opportunities from implementing the system were discussed."
Generation expansion planning with energy storage systems considering renewable energy generation profiles and full‐year hourly power balance constraints,"Chulalongkorn University, Chulalongkorn University",2021,"© 2021 by the authors. Licensee MDPI, Basel, Switzerland.This paper proposes a methodology to develop generation expansion plans considering energy storage systems (ESSs), individual generation unit characteristics, and full‐year hourly power balance constraints. Generation expansion planning (GEP) is a complex optimization problem. To get a realistic plan with the lowest cost, acceptable system reliability, and satisfactory CO2 emissions for the coming decades, a complex multi‐period mixed integer linear programming (MILP) model needs to be formulated and solved with individual unit characteristics along with hourly power balance constraints. This problem requires huge computational effort since there are thousands of possible scenarios with millions of variables in a single calculation. However, in this paper, instead of finding the globally optimal solutions of such MILPs directly, a simplification process is proposed, breaking it down into multiple LP subproblems, which are easier to solve. In each subproblem, constraints relating to renewable energy generation profiles, charge‐discharge patterns of ESSs, and system reliability can be included. The proposed process is tested against Thailand’s power development plan. The obtained solution is almost identical to that of the actual plan, but with less computational effort. The impacts of uncertainties as well as ESSs on GEP, e.g., system reliability, electricity cost, and CO2 emission, are also discussed."
"Citywide energy-related co2 emissions and sustainability assessment of the development of low-carbon policy in chiang mai, thailand","Chulalongkorn University, Chulalongkorn University",2022,"© 2021 by the authors. Licensee MDPI, Basel, Switzerland.Cities are one of the key contributors to the environment and sustainability. This study aims to quantify citywide energy-related CO2 emissions and assess the sustainability feasibility of implementing climate change mitigation policies in Chiang Mai, Thailand. By employing the GPC method, it was found that the average energy-related CO2 emission in Chiang Mai from 2015 to 2019 was 2,146,060 tCO2eq. Residences, industries (i.e., food preservation industries), and commercial and governmental buildings were the top three energy consumption-related GHG emitters. According to the Analytical Hierarchy Process (AHP), in terms of mitigation measures, LED lighting presented the highest score (0.380), followed by improving air conditioning efficiency (0.278), and the use of energy-efficient appliances (0.203). Energy-efficient technologies would be more feasible than the development of renewable energy technologies to lower CO2 emissions. In terms of sustainability, political, technical, and economic feasibility criteria presented the highest AHP score (0.789), followed by human and social dimensions criteria (0.129), and environmental performance criteria (0.073). Policy possibility had the highest AHP score, while direct contribution to climate benefits as GHG reduction presented the lowest score. The integration of climate mitigation opportunities into national policies, the green industry scheme, and promoting residents’ self-determined motivation are urgently recommended."
Regulatory stringency and behavior in a common pool resource game: Lab and field experiments,Chulalongkorn University,2021,"© 2021 Elsevier Inc.Reducing deforestation is one of the key actions necessary to mitigate global climate change. However, in developing countries where there is low enforcement of regulations, it is often difficult to motivate conservation. This paper applies a common pool resource game to look at whether or not changing the level of permitted resource use (i.e. regulatory stringency) affects behavior in a low-enforcement environment. The experiments are conducted in both the lab and the field in Thailand. We study the impact of varying the rule on permitted resource use on resource extraction, individual payoff and payoff distribution. Three levels of resource use are studied – strict, moderate, and relaxed, corresponding to disallowing usage, allowing a moderate amount of use, and allowing a generous amount of use respectively. We find that in our settings, imposing a strict rule is not always the best strategy to manage a common pool resource. In fact, allowing a higher level of resource use yields more desirable social (more equitable payoffs distribution), economic (individual payoff), and environmental (remaining resource stock) outcomes. Thus, our findings suggest that in a low enforcement environment, the design of the rule itself could help motivate conservation behavior by allowing resource users to realize the economic benefits of conservation."
Towards high carbon conversion efficiency by using a tailored electrodialysis process for in-situ carboxylic acids recovery,"Chinese Academy of Sciences, Qingdao University of Science and Technology, University of Chinese Academy of Sciences, Hunan Agricultural University, RMIT University, Chulalongkorn University",2023,"© 2021 Elsevier LtdProduction of carboxylic acids from anaerobic fermentation has gained increasing attention. However, acidogenic fermentation is still facing challenges such as low yield of carboxylic acids and difficulties in product recovery and purification. The emission of acidogenic off-gas CO2 leads to a reduced carbon recovery (∼70%) and also increases the carbon footprint of the anaerobic treatment process. In this study, a tailored electrodialysis stack was integrated with a fermenter to recover the products and hence to improve quantity and quality of the produced carboxylic acids. Three levels of currents, i.e., 0.4, 1, and 4 A (T1, T2, and T3), were applied during electrodialytic separation of carboxylic acids and 12 cycles of electrodialysis were carried out to evaluate the performance of the integrated system. Results showed that different degrees of carboxylic acids removal led to varied impacts on the yield of carboxylic acids, economic viability, and the instability of microbial community. Compared with the case without coupling electrodialysis process, the carbon conversion rate increased by 28.04% in T3, which was due to the reuse of inorganic carbon introduced by a tailored electrodialysis process. After 12 cycles of fermentation, the percentage of Clostridiales finally increased from 0.11% (inoculum) to 31.15% in T3, which also confirmed the possible autotrophic acidogenesis by using inorganic carbon. This work would provide a promising solution to improve the recovery of carboxylic acids from organic wastes and achieve minimum carbon footprint in the organic waste management process."
Examining the impact and influencing channels of carbon emission trading pilot markets in china,Chulalongkorn University,2023,"© 2021 by the authors. Licensee MDPI, Basel, Switzerland.As China has an important role in global climate change, the Chinese government has set goals to improve its environmental efficiency and performance and launched carbon emission trading pilot markets in 2013, aiming to reduce CO2 emissions. Based on panel data of 30 provinces from 2005 to 2017, this paper uses the difference‐in‐difference method to study the impact of China’s carbon emission trading pilot markets on carbon emissions and regional green development. The paper also explores possible influencing channels. The main conclusions are as follows: (1) China’s carbon emission trading policy has promoted a reduction in CO2 emissions and carbon emission intensity and has increased green development in the pilot areas. (2) The main path for China’s carbon emission trading policy to achieve carbon emission reduction and regional green development is to promote technology adoption. (3) China’s carbon emission trading policy achieves green development through synergistic SO2 emission reduction. The pilot carbon markets have reduced both the amount of SO2 emissions and SO2 emission intensity."
"A review on the performance, combustion, and emission characteristics of spark-ignition engine fueled with 2,5-dimethylfuran compared to ethanol and gasoline","Ho Chi Minh City University of Transport, Ho Chi Minh City University of Technology (HUTECH), Phenikaa University, Diponegoro University, Chulalongkorn University, Ho Chi Minh City University of Transport",2023,"Copyright © 2020 by ASME.Currently, the supply of diminishing fossil fuel reserves, and the rise in challenges in environmental, political and economic consequences have caused the great concerns in the development of modern society; these have forced the policy-makers and researchers to look for the renewable and green energy sources. Deemed as a promising renewable alternative to traditional fossil fuels, 2,5-dimethylfuran (DMF, chemical formula C6H8O)-a derivative of furan-has the potential to relieve the growing shortage of fossil fuels while satisfying the increase in global energy demand and minimizing the adverse effects of climate change. DMF can be used as a clean source of liquid transportation biofuel given the fact that it is directly obtained from biomass-derived carbohydrates. In reviewing current DMF production methods, this review paper analyzes and presents the comparison of catalytic performance in the conversion of biomass into DMF. In addition, the applicability of DMF in spark-ignition (SI) engines is thoroughly analyzed based on the spray and flame, combustion, performance, and emission characteristics of SI engines running on DMF compared with ethanol and gasoline. More interestingly, the knocking, lubrication, and wear characteristics in SI engines fueled with DMF are also evaluated and discussed. Nonetheless, further investigation on optimization strategies on DMF production process should be conducted prior to the initiation of large-scale commercialization as well as the application of DMF to real-world SI engines."
"Projection of hydro-climatic extreme events under climate change in yom and nan river basins, thailand","King Mongkut's University of Technology Thonburi, Chulalongkorn University",2021,"© 2021 by the authors. Licensee MDPI, Basel, Switzerland.Due to a continuous increase in global temperature, the climate has been changing without sign of alleviation. An increase in the air temperature has caused changes in the hydrologic cycle, which have been followed by several emergencies of natural extreme events around the world. Thailand is one of the countries that has incurred a huge loss in assets and lives from the extreme flood and drought events, especially in the northern part. Therefore, the purpose of this study was to assess the hydrological regime in the Yom and Nan River basins, affected by climate change as well as the possibility of extreme floods and droughts. The hydrological processes of the study areas were generated via the physically-based hydrological model, namely the Soil and Water Assessment Tool (SWAT) model. The projected climate conditions were dependent on the outputs of the Global Climate Models (GCMs) as the Representative Concentration Pathways (RCPs) 2.6 and 8.5 between 2021 and 2095. Results show that the average air temperature, annual rainfall, and annual runoff will be significantly increased in the intermediate future (2046–2070) onwards, especially under RCP 8.5. According to the Flow Duration Curve and return period of peak discharge, there are fluctuating trends in the occurrence of extreme floods and drought events under RCP 2.6 from the future (2021–2045) to the far future (2071–2095). However, under RCP 8.5, the extreme flood and drought events seem to be more severe. The probability of extreme flood remains constant from the reference period to the near future, then rises dramatically in the intermediate and the far future. The intensity of extreme droughts will be increased in the near future and decreased in the intermediate future due to high annual rainfall, then tending to have an upward trend in the far future."
Technical insights into the production of green fuel from CO2 sequestered algal biomass: A conceptual review on green energy,"Jeppiaar Nagar (OMR), Sri Sivasubramaniya Nadar College of Engineering, Chulalongkorn University, Ton Duc Thang University",2022,"© 2020 Elsevier B.V.Algae a promising energy reserve due to its adaptability, cheap source, sustainability and it's growth ability in wastewater with efficient sequestration of industrial carbon dioxide. This review summarizes the pathways available for biofuel production from carbon sequestered algae biomass. In this regard, this review focuses on microalgae and its cultivation in wastewater with CO2 sequestration. Conversion of carbon sequestered biomass into bio-fuels via thermo-chemical routes and its engine emission properties. Energy perspective of green gaseous biofuels in near future. This review revealed that algae was the pre-dominant CO2 sequester than terrestrial plants in an eco-friendly and economical way with simultaneous wastewater remediation. Hydrothermal liquefaction of algae biomass was the most preferred mode for biofuel generation than pyrolysis due to high moisture content. The algae based fuels exhibit less greenhouse gases emission and higher energy value. This review helps the researchers, environmentalists and industrialists to evaluate the impact of algae based bio-energy towards green energy and environment."
Multiple drivers of hydrological alteration in the transboundary Srepok River Basin of the Lower Mekong Region,"Asian Institute of Technology, Asian Institute of Technology, Chulalongkorn University",2023,"© 2020 Elsevier LtdHuman-induced changes in land and water resources adversely affect global hydrological regimes. Hydrological alteration of the natural flow regime is considered to have a significant damaging and widespread impact on river ecosystems and livelihoods. Therefore, understanding the hydrological alteration of rivers and the potential driving factors affecting such alterations are crucial to effective water resources management. This study analyses the impact of changes in land use, climate, and hydropower development on the hydrological regime of the Srepok River Basin in the Lower Mekong Region. The Lower Mekong Basin (LMB) in Southeast Asia is known for its agriculture, forests, fisheries, wildlife, and diverse natural ecosystems. Historical land use and climate change are quantified (utilising European Space Agency land cover and observed meteorological data) and correlated with the hydrological indicators using the Indicators of Hydrologic Alteration (IHA) software. Moreover, pre and post impacts on the hydrological regime by hydropower development are quantified using the Range of Variability Approach (RAV) in IHA software. The results reveal that land use, rainfall, and temperature affect different aspects of the hydrological regime, with corroborating evidence to support variation among the most correlated IHA and environmental flow component (EFC) parameters with the three drivers. The highest and lowest correlations among the IHA and EFC parameters under each driver are against land use (0.85, −0.83), rainfall (0.78, −0.54), and minimum and max temperatures (0.42, −0.47). Among the parameters, the fall rate has the most significant effect on hydrological alteration of all drivers. Hydropower development in the basin mostly affects the fall rate and reversal. Identifying the connection between these multiple drivers and hydrological alteration could help decision-makers to design more efficient and sustainable water management policies."
Migration and sustainable development in Thailand,Chulalongkorn University,2023,"© 2020, Emerald Publishing Limited.Purpose: Previous studies have focused on migration and development from an economic perspective. The purpose of this paper is to evaluate sustainable migration and development in an integrative manner, including economic, social and environmental perspectives linking theoretical frameworks with empirical evidence in Thailand. Design/methodology/approach: A framework of migration and sustainable development was developed in a structured and integrative manner, and the shift in migration and development patterns in Thailand was examined from an empirical and theoretical standpoint. Findings: Migration contributes to Thailand’s economy in many ways. Migrant workers help to grow the economy, especially in labor-intensive sectors. This helps reduced income inequalities at the household level through remittances. Climate change will enhance migration, especially from neighboring countries and within Thailand itself, thus helping to reduce poverty and income inequality. Possible economic gains from migration, as well as circulating workers and international retirement migrants are highlighted. Research limitations/implications: Only studies published in English or Thai were included, which may have resulted in the omission of some research. A need for rethinking policy design and implementation as a source of sustainable development is required. Originality/value: Despite the recent influences of political and environmental changes, there has previously been no analysis of migration and sustainable development in Thailand in a structured and integrative manner as in this study. The impact of migration on the diffusion of new technology and brain drain issues was also addressed."
Climate change risk assessment and adaptation for loss and damage of urban transportation infrastructure in Southeast Asia,"Southern Institute of Water Resources Research (SIWRR), Chulalongkorn University, Sub-Institute of HydroMeteorology and Climate Change (SIHYMECC), Transport Development and Strategy Institute, Royal University of Phnom Penh, Ministry of Environment, Ministry of Natural Resources and Environment, Ltd, Dalat University",2023,"© The authors.Climate change (CC) will potentially have negative consequences for urban transportation infrastructure (UTI). It is important to improve our understanding of CC-associated loss and damage in relation to UTI. However, there is limited knowledge on how to practically assess loss and damage for UTI in the context of CC, and future-proof transportation planning. This study presents the results and experiences from the assessment of CC-related loss and damage to UTI in six cities of Cambodia, Thailand and Vietnam. It was found that the selected cities were highly vulnerable to CC given their location, exposure to sea level rise, storm surge, flooding, and salinity intrusion. Through analyses conducted using NK-GIAS software, economic losses for different flood scenarios were determined. The linkage between flooding and road damage was demonstrated, with maximum damage estimations under the most extreme flooding scenario of approximately 20 million USD for Hoi An, 3 million USD for Kampot and 21 million USD for Samut Sakhon, corresponding to water levels of 3.94 m, 4.7 m and 2.7 m respectively. Road damage was identified as a key impact related to CC. Further research is recommended to develop damage curves, addressing both flood depth and duration, to strengthen the NK-GIAS analyses."
"EVALUATION of SATELLITE IMAGERY DATA for CROP YIELD SIMULATION in SARABURI PROVINCE, THAILAND","Kasetsart University, Yamaguchi University, Chulalongkorn University, Kasetsart University",2022,"© ACRS 2021.All right reserved.Climate change could be a severe cause of disaster as well as food shortage. As the climate, society, and the environment change, these could bring more difficulties for agricultural planning because of unexpected decreasing yields of food crops; this could create a poverty situation. Therefore, an appropriate crop yield estimation methodology should be developed to help individual farmers plant crops. It is not only for adequate and safe food crops but also sustainable agricultural planning. A crop yield model is a technology that could be the best tool for farmers and researchers to develop yield products and farm management. Many crop-model studies have applied low-resolution data over a large area, and therefore the yield calculation of a whole district or village has resulted in the exact figure, whereas in reality, many paddy areas have a fragmented pattern with small rice plots.This study emphasized transplanted rice in a tiny area in Saraburi province. Field survey experiments have been conducted at observing rice characteristics to calibrate the crop parameters for local rice varieties. The cultivar-specific and agricultural practices were measured and evaluated. Integration of moderate-resolution satellite image and the AquaCrop model was performed to extract the essential crop parameters of paddy for yield simulation using the model. The green canopy cover (CC) information derived from the satellite data has provided acceptable results through the rice yield simulation and observed yield validation."
Economic and environmental assessment of bio-hydrogenated diesel production process from waste cooking oil integrated with reforming process,"King Mongkut's University of Technology North Bangkok, King Mongkut's University of Technology North Bangkok, Prince of Songkla University, Chulalongkorn University",2021,"© 2021 Elsevier B.V.This work focuses on the performance analysis and life cycle assessment of two BHD production processes from waste cooking oil coupled with a reformer. The first process produces hydrogen from gas flare from the oil and gas industry, while the second process produces hydrogen from by-product propane. It was revealed that the second process requires less hydrogen by 15.27%, compared to the first process. However, its heating and cooling utilities were 22% and 10% higher than the first process. The economic assessment showed that the first process has a net present value of 2.39 times higher than the second one. Life cycle assessment is evaluated in terms of carbon footprint and other environmental impacts by using LCSoft program. It was found that the carbon footprint released by the second process was higher than the first process by 0.45 kgCO2 eq. The second process was also found to have higher environmental impacts in most categories. Thus, it can be concluded that the first process is preferable."
Potassium carbonate supported on γ -alumina sorbent regeneration in fluidized bed reactor for carbon dioxide capture technology,"Chulalongkorn University, Chulalongkorn University",2023,"© 2021, Chulalongkorn University, Faculty of Fine and Applied Arts. All rights reserved.Nowadays, the world is facing severe climate change due to the rapid increase in the world population and the continuing growth of the economy and industry. These lead to substantial greenhouse gas emissions into the atmosphere, especially carbon dioxide, which causes global warming. Thus, carbon dioxide (CO2) capture becomes an essential technology for mitigating adverse effects on the atmosphere. The solid sorbent is an appropriate alternative for CO2 capture because it is cheap, environmentally benign, and recyclable. In this study, solid-sorbent regeneration using potassium carbonate supported on gamma-alumina in a fluidized bed reactor was investigated. The effects of operating variables of solid sorbent regeneration were studied by varying the temperatures of 100, 200, and 300 degrees Celsius and pressures in the range from 0 to 1 atmospheric pressure. The results showed that regeneration temperature had a positive effect and initial pressure had a negative effect on the sorbent regeneration, respectively. The sorbent regeneration can be enhanced by increasing the regeneration temperature and decreasing the initial pressure. The optimal condition for sorbent regeneration was at the temperature of 300 degrees Celsius and initial pressures of 0.35 bar. Kinetic studies of the sorbent regeneration were also conducted, and obtained a pseudo-second-order model to be the best-fit model."
"Assessment of carbon footprint from transportation, electricity, water, and waste generation: towards utilisation of renewable energy sources","Duy Tan University, Duy Tan University, Universiti Teknologi Malaysia, Universiti Teknologi Malaysia, Universiti Teknologi Malaysia Jalan Sultan Yahya Petra, Chulalongkorn University, Institute of Higher Education ACECR Khouzestan",2021,"© 2021, The Author(s), under exclusive licence to Springer-Verlag GmbH, DE part of Springer Nature.Daily human activities generate greenhouse gases. The total emission of greenhouse gases is called the carbon footprint and is expressed in carbon dioxide equivalent (CO2e) units. As a new educational institution, Universiti Teknologi Malaysia (UTM) began to take part in an Intergovernmental Panel on Climate Change (IPCC) programme that supports the reduction in carbon emissions. In this study, the total amount of CO2 produced from UTM during 4 years was measured under three categories: (1) the emissions from the fleet of university vehicles for public transportation, (2) the electricity and water emissions, and (3) the emissions produced by staff and student transportation, waste generation, paper, and maintenance by contractors. The special evaluation method is an alternative method to calculate greenhouse gases and measures all elements/sources of greenhouse gases under the same functional unit. This reference helps the assessor to avoid the double measurement of anthropogenic gases. The study results demonstrated that air transportation utilised by university students and employees and electricity usage contributed to 34.74%, 19.37%, and 18.19% of the carbon emissions, respectively. The total CO2 emissions from the three sources over 4 years were 48.442 MT. The data on the carbon footprint of the university can form the basis for monitoring, evaluation, and regulation of greenhouse gas emissions in Malaysia. Moreover, the university constructed and operates a smart house, a large solar parking lot with a capacity of 10 MW, uses solar and wind-powered lighting, and encourages the use of bicycles and electric scooters to achieve an annual reduction in the total CO2 emissions intensity. The results of this study suggested that a carbon reduction project could encourage university members and public society to an understanding of the environment and allowing UTM to become a centre of excellence for the operation of a green campus for urban areas. Graphic abstract: [Figure not available: see fulltext.]"
Expert assessment of future vulnerability of the global peatland carbon sink,"Texas A&M University, University of Exeter, University of Helsinki, University of Quebec at Montreal, Tanjungpura University, University of Hawaii at Manoa, Pontificial Xavierian University, University of Bristol, Bowdoin College, Chulalongkorn University, Los Angeles, Max Planck Institute for Meteorology, University of Nottingham, University of Magallanes, University of Bern, Université de Montréal, Texas A&M University, Lehigh University, Northeast Normal University, Mount Holyoke College, McGill University, Stockholm University, University of Leicester, KU Leuven, University of St Andrews, Florida State University, Aarhus University, University of Toronto, Instituto Franco-Argentino para el Estudio del Clima y sus Impactos, University of New Hampshire, University of Lodz, CNRS-UPS-INPT, Cranfield University, University of Alberta, University of York, Max Planck Institute for Biogeochemistry, Lawrence Berkeley National Laboratory, United States Geological Survey, Texas A&M University at Galveston, University of Victoria, Adam Mickiewicz University, Natural Resources Institute Finland (Luke), Agroscope, University of Helsinki, University of London, University of Helsinki, University of Queensland, Lamont-Doherty Earth Observatory, National Park Service, University of York, Hope College, University of Reading, Uva Wellassa University, University of Nottingham, Université de Montréal, Queen’s University Belfast, Berkeley, Memorial University",2022,"© 2020, The Author(s), under exclusive licence to Springer Nature Limited.The carbon balance of peatlands is predicted to shift from a sink to a source this century. However, peatland ecosystems are still omitted from the main Earth system models that are used for future climate change projections, and they are not considered in integrated assessment models that are used in impact and mitigation studies. By using evidence synthesized from the literature and an expert elicitation, we define and quantify the leading drivers of change that have impacted peatland carbon stocks during the Holocene and predict their effect during this century and in the far future. We also identify uncertainties and knowledge gaps in the scientific community and provide insight towards better integration of peatlands into modelling frameworks. Given the importance of the contribution by peatlands to the global carbon cycle, this study shows that peatland science is a critical research area and that we still have a long way to go to fully understand the peatland–carbon–climate nexus."
Designing a Built-In Electric Field for Efficient Energy Electrocatalysis,"Central South University, Central South University, Chulalongkorn University",2023,"© 2022 Authors. All rights reserved.To utilize intermittent renewable energy as well as achieve the goals of peak carbon dioxide emissions and carbon neutrality, various electrocatalytic devices have been developed. However, the electrocatalytic reactions, e.g., hydrogen evolution reaction/oxygen evolution reaction in overall water splitting, polysulfide conversion in lithium-sulfur batteries, formation/decomposition of lithium peroxide in lithium-oxygen batteries, and nitrate reduction reaction to degrade sewage, suffer from sluggish kinetics caused by multielectron transfer processes. Owing to the merits of accelerated charge transport, optimized adsorption/desorption of intermediates, raised conductivity, regulation of the reaction microenvironment, as well as ease to combine with geometric characteristics, the built-in electric field (BIEF) is expected to overcome the above problems. Here, we give a Review about the very recent progress of BIEF for efficient energy electrocatalysis. First, the construction strategies and the characterization methods (qualitative and quantitative analysis) of BIEF are summarized. Then, the up-To-date overviews of BIEF engineering in electrocatalysis, with attention on the electron structure optimization and reaction microenvironment modulation, are analyzed and discussed in detail. In the end, the challenges and perspectives of BIEF engineering are proposed. This Review gives a deep understanding on the design of electrocatalysts with BIEF for next-generation energy storage and electrocatalytic devices."
